mxc: 0.32, mxy: -0.33, mzc: 0.46, mx: 2253, my: -2353, mz: 3276

14277  gxc: 14.03, gyc: -68.73, gzc: 1.19, gx: 1604, gy: -7855, gz: 136
axc: 0.25, ayc: 0.43, azc: -0.46, ax: 4095, ay: 7120, az: -7530
mxc: 0.31, mxy: -0.28, mzc: 0.49, mx: 2183, my: -1999, mz: 3526

14505  gxc: -94.68, gyc: -56.97, gzc: 78.34, gx: -10820, gy: -6511, gz: 8953
axc: 0.44, ayc: 0.21, azc: -0.84, ax: 7192, ay: 3519, az: -13836
mxc: 0.40, mxy: -0.17, mzc: 0.56, mx: 2852, my: -1245, mz: 3994

14739  gxc: -53.59, gyc: 25.24, gzc: 157.20, gx: -6124, gy: 2885, gz: 17966
axc: -0.07, ayc: 0.37, azc: -0.81, ax: -1115, ay: 6123, az: -13203
mxc: 0.29, mxy: -0.15, mzc: 0.56, mx: 2087, my: -1079, mz: 3995

14974  gxc: -107.70, gyc: -12.53, gzc: -53.40, gx: -12309, gy: -1432, gz: -6103
axc: -0.02, ayc: 0.16, azc: -0.98, ax: -286, ay: 2630, az: -16138
mxc: 0.36, mxy: 0.04, mzc: 0.58, mx: 2595, my: 313, mz: 4168

15209  gxc: 49.88, gyc: -66.68, gzc: 53.78, gx: 5700, gy: -7621, gz: 6146
axc: 0.08, ayc: 0.33, azc: -0.90, ax: 1252, ay: 5449, az: -14751
mxc: 0.45, mxy: 0.08, mzc: 0.56, mx: 3186, my: 593, mz: 4014

15437  gxc: -13.05, gyc: -31.12, gzc: 149.13, gx: -1491, gy: -3557, gz: 17044
axc: 0.31, ayc: 0.33, azc: -0.83, ax: 5119, ay: 5336, az: -13641
mxc: 0.51, mxy: 0.03, mzc: 0.55, mx: 3670, my: 186, mz: 3944

15669  gxc: 12.38, gyc: -72.37, gzc: 37.23, gx: 1415, gy: -8271, gz: 4255
axc: 0.48, ayc: 0.30, azc: -0.82, ax: 7794, ay: 4842, az: -13449
mxc: 0.59, mxy: 0.02, mzc: 0.50, mx: 4235, my: 117, mz: 3559

15897  gxc: -22.83, gyc: 9.92, gzc: 18.62, gx: -2609, gy: 1134, gz: 2128
axc: 0.30, ayc: 0.41, azc: -0.84, ax: 4864, ay: 6677, az: -13737
mxc: 0.57, mxy: -0.01, mzc: 0.52, mx: 4098, my: -44, mz: 3722

16155  gxc: -48.11, gyc: -11.28, gzc: 24.58, gx: -5498, gy: -1289, gz: 2809
axc: -0.03, ayc: 0.11, azc: -1.27, ax: -478, ay: 1790, az: -20827
mxc: 0.49, mxy: 0.02, mzc: 0.57, mx: 3496, my: 132, mz: 4038

16387  gxc: 48.71, gyc: 5.92, gzc: -45.24, gx: 5567, gy: 677, gz: -5170
axc: 0.26, ayc: 0.13, azc: -0.92, ax: 4302, ay: 2175, az: -15063
mxc: 0.50, mxy: 0.01, mzc: 0.55, mx: 3595, my: 106, mz: 3954

16612  gxc: -14.31, gyc: 53.14, gzc: -44.74, gx: -1635, gy: 6073, gz: -5113
axc: -0.06, ayc: 0.21, azc: -0.90, ax: -992, ay: 3433, az: -14818
mxc: 0.41, mxy: -0.00, mzc: 0.58, mx: 2963, my: -24, mz: 4137

16844  gxc: -72.71, gyc: -6.76, gzc: -39.15, gx: -8310, gy: -772, gz: -4474
axc: -0.10, ayc: 0.25, azc: -0.82, ax: -1638, ay: 4023, az: -13385
mxc: 0.37, mxy: 0.04, mzc: 0.58, mx: 2676, my: 296, mz: 4137

17076  gxc: -79.46, gyc: -110.89, gzc: -36.85, gx: -9081, gy: -12673, gz: -4211
axc: -0.20, ayc: 0.06, azc: -0.97, ax: -3297, ay: 967, az: -15851
mxc: 0.32, mxy: 0.03, mzc: 0.58, mx: 2257, my: 232, mz: 4156

17311  gxc: 35.27, gyc: -14.82, gzc: -1.42, gx: 4031, gy: -1694, gz: -162
axc: -0.41, ayc: 0.15, azc: -0.99, ax: -6662, ay: 2436, az: -16311
mxc: 0.35, mxy: 0.11, mzc: 0.57, mx: 2481, my: 759, mz: 4050

17541  gxc: -95.06, gyc: -40.77, gzc: 14.14, gx: -10864, gy: -4659, gz: 1616
axc: 0.16, ayc: -0.09, azc: -0.95, ax: 2628, ay: -1435, az: -15572
mxc: 0.46, mxy: 0.16, mzc: 0.53, mx: 3267, my: 1138, mz: 3815

17806  gxc: -17.70, gyc: -25.46, gzc: -20.00, gx: -2023, gy: -2910, gz: -2286
axc: 0.41, ayc: -0.36, azc: -1.01, ax: 6640, ay: -5952, az: -16505
mxc: 0.48, mxy: 0.28, mzc: 0.44, mx: 3400, my: 1999, mz: 3159

18040  gxc: 5.48, gyc: 39.72, gzc: -46.58, gx: 626, gy: 4539, gz: -5323
axc: 0.11, ayc: -0.20, azc: -1.08, ax: 1868, ay: -3226, az: -17748
mxc: 0.48, mxy: 0.26, mzc: 0.46, mx: 3429, my: 1822, mz: 3282

18270  gxc: 77.66, gyc: 56.68, gzc: -64.17, gx: 8876, gy: 6478, gz: -7334
axc: 0.14, ayc: -0.06, azc: -1.38, ax: 2290, ay: -954, az: -22657
mxc: 0.43, mxy: 0.22, mzc: 0.50, mx: 3070, my: 1603, mz: 3574

18499  gxc: 26.21, gyc: 164.92, gzc: -175.10, gx: 2995, gy: 18848, gz: -20011
axc: -0.28, ayc: 0.33, azc: -0.78, ax: -4524, ay: 5419, az: -12825
mxc: 0.15, mxy: -0.09, mzc: 0.53, mx: 1050, my: -648, mz: 3767

18736  gxc: 140.36, gyc: 130.91, gzc: -26.97, gx: 16041, gy: 14961, gz: -3082
axc: -0.37, ayc: 0.51, azc: -0.66, ax: -6047, ay: 8350, az: -10865
mxc: 0.19, mxy: -0.19, mzc: 0.51, mx: 1367, my: -1360, mz: 3640

18972  gxc: 81.92, gyc: 38.54, gzc: 63.03, gx: 9362, gy: 4405, gz: 7203
axc: -0.81, ayc: 0.87, azc: 0.40, ax: -13305, ay: 14206, az: 6613
mxc: -0.00, mxy: -0.30, mzc: 0.16, mx: -24, my: -2134, mz: 1118

19203  gxc: 76.73, gyc: 73.88, gzc: 24.87, gx: 8769, gy: 8444, gz: 2842
axc: -0.57, ayc: 0.63, azc: -0.19, ax: -9333, ay: 10326, az: -3154
mxc: -0.06, mxy: -0.17, mzc: 0.02, mx: -462, my: -1230, mz: 175

19464  gxc: -18.15, gyc: -152.62, gzc: 73.49, gx: -2074, gy: -17442, gz: 8399
axc: -0.96, ayc: 0.04, azc: -0.35, ax: -15689, ay: 636, az: -5666
mxc: -0.09, mxy: 0.08, mzc: 0.23, mx: -640, my: 588, mz: 1628

19697  gxc: 28.38, gyc: -69.31, gzc: -23.35, gx: 3243, gy: -7921, gz: -2669
axc: -1.17, ayc: -0.08, azc: -0.14, ax: -19160, ay: -1364, az: -2270
mxc: -0.03, mxy: 0.20, mzc: 0.28, mx: -185, my: 1441, mz: 2002

19934  gxc: -13.56, gyc: -99.22, gzc: -44.49, gx: -1550, gy: -11339, gz: -5084
axc: -0.68, ayc: -0.14, azc: -0.69, ax: -11192, ay: -2226, az: -11345
mxc: -0.00, mxy: 0.09, mzc: 0.42, mx: -1, my: 631, mz: 3034

20170  gxc: 52.23, gyc: 21.23, gzc: 94.54, gx: 5969, gy: 2426, gz: 10805
axc: -0.86, ayc: -0.11, azc: -0.63, ax: -14158, ay: -1836, az: -10379
mxc: 0.11, mxy: 0.27, mzc: 0.41, mx: 816, my: 1945, mz: 2930

20403  gxc: -131.15, gyc: 58.48, gzc: -99.84, gx: -14989, gy: 6683, gz: -11410
axc: -0.66, ayc: -0.36, azc: -0.55, ax: -10745, ay: -5931, az: -8964
mxc: 0.13, mxy: 0.23, mzc: 0.45, mx: 899, my: 1622, mz: 3237

20639  gxc: 32.69, gyc: 114.34, gzc: 183.03, gx: 3736, gy: 13068, gz: 20918
axc: -0.69, ayc: -0.47, azc: -0.51, ax: -11263, ay: -7718, az: -8419
mxc: 0.20, mxy: 0.29, mzc: 0.44, mx: 1398, my: 2077, mz: 3148

20875  gxc: -3.19, gyc: -79.32, gzc: -12.94, gx: -365, gy: -9065, gz: -1479
axc: -0.19, ayc: -1.03, azc: -0.48, ax: -3179, ay: -16844, az: -7828
mxc: 0.31, mxy: 0.33, mzc: 0.44, mx: 2208, my: 2331, mz: 3116

21109  gxc: 56.60, gyc: 24.20, gzc: -112.68, gx: 6469, gy: 2766, gz: -12878
axc: -0.41, ayc: -0.90, azc: -0.69, ax: -6697, ay: -14792, az: -11278
mxc: 0.42, mxy: 0.33, mzc: 0.42, mx: 2988, my: 2391, mz: 2987

21372  gxc: -19.66, gyc: 3.14, gzc: -3.05, gx: -2247, gy: 359, gz: -349
axc: 0.12, ayc: -0.92, azc: -0.49, ax: 1999, ay: -15070, az: -7953
mxc: 0.40, mxy: 0.33, mzc: 0.42, mx: 2880, my: 2326, mz: 3000

21601  gxc: 56.93, gyc: 101.60, gzc: -32.51, gx: 6506, gy: 11611, gz: -3715
axc: 0.20, ayc: -0.91, azc: -0.54, ax: 3232, ay: -14908, az: -8860
mxc: 0.52, mxy: 0.29, mzc: 0.42, mx: 3712, my: 2054, mz: 3001

21834  gxc: 29.89, gyc: 10.58, gzc: 6.62, gx: 3416, gy: 1209, gz: 757
axc: -0.02, ayc: -0.59, azc: -0.73, ax: -259, ay: -9636, az: -12031
